case_id,question,relevant_document_ids,relevant_chunk_ids,relevance_grades,expected_competitor,expected_event_type,expected_dimension_tags,expected_version,expected_evidence_quote,query_filters
cursor_official_agent,Cursor 官网如何描述把开发任务交给 Agent 的工作方式？,"[""doc_07d098f2fee2ef0054ba2e6f""]","[""chunk_f6ba9547b6d24c1bc480481b""]","{""chunk_f6ba9547b6d24c1bc480481b"":3.0}",Cursor,,"[""agent_context""]",,handing off tasks to Cursor,"{""competitor"":""Cursor"",""source_types"":[""official_page""],""current_only"":true,""dimension_tags"":[""agent_context""]}"
cursor_teams_price,Cursor Teams 套餐的月费和团队管理能力是什么？,"[""doc_d6324537d99947983b9e08a2""]","[""chunk_c5fedceb650f56c40866e98a""]","{""chunk_c5fedceb650f56c40866e98a"":3.0}",Cursor,pricing_change,"[""performance_cost""]",,$40 / user / mo.,"{""competitor"":""Cursor"",""source_types"":[""pricing""],""current_only"":true,""event_types"":[""pricing_change""],""dimension_tags"":[""performance_cost""]}"
cursor_enterprise_controls,Cursor Enterprise 套餐提供哪些访问控制和审计能力？,"[""doc_d6324537d99947983b9e08a2""]","[""chunk_63700f2d4d8b0d72ca4d19e3""]","{""chunk_63700f2d4d8b0d72ca4d19e3"":3.0}",Cursor,pricing_change,"[""security_compliance""]",,SCIM seat management,"{""competitor"":""Cursor"",""source_types"":[""pricing""],""current_only"":true,""event_types"":[""pricing_change""],""dimension_tags"":[""security_compliance""]}"
cursor_side_chats_311,Cursor 3.11 的 side chat 如何避免打断主 Agent 会话？,"[""doc_6f62235dc9bf9ac07ad070ad""]","[""chunk_fa6c659cb1b68ffc73e2b44d""]","{""chunk_fa6c659cb1b68ffc73e2b44d"":3.0}",Cursor,product_release,"[""agent_context""]",3.11.0,without interrupting your main agent conversation,"{""competitor"":""Cursor"",""source_types"":[""official_changelog""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""agent_context""],""product_versions"":[""3.11.0""]}"
cursor_automations_38,Cursor 3.8 Automations 新增了哪些触发器和计算机操作能力？,"[""doc_3414937efa7cf1a0f93303c3""]","[""chunk_e40c8ab9aeaa43db310fee96""]","{""chunk_e40c8ab9aeaa43db310fee96"":3.0}",Cursor,product_release,"[""agent_context""]",3.8.0,"new triggers for GitHub and Slack, and support for computer use","{""competitor"":""Cursor"",""source_types"":[""official_changelog""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""agent_context""],""product_versions"":[""3.8.0""]}"
cursor_bugbot_metrics,Cursor Bugbot 的评审速度、成本和缺陷发现数量发生了什么变化？,"[""doc_2531d48c0f74c6f92d2beb40""]","[""chunk_d9965875d54373f9630cea00""]","{""chunk_d9965875d54373f9630cea00"":3.0}",Cursor,product_release,"[""performance_cost""]",,average review time for Bugbot is now ~90 seconds,"{""competitor"":""Cursor"",""source_types"":[""official_changelog""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""performance_cost""]}"
cursor_cloud_subagent_37,Cursor 3.7 的 /in-cloud 子 Agent 如何隔离长时间任务？,"[""doc_d3b64d654b269e190c496d5d""]","[""chunk_95e2856270bfa510adc4bdf2""]","{""chunk_95e2856270bfa510adc4bdf2"":3.0}",Cursor,product_release,"[""agent_context""]",3.7.0,runs on its own VM and branch,"{""competitor"":""Cursor"",""source_types"":[""official_changelog""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""agent_context""],""product_versions"":[""3.7.0""]}"
cursor_canvas_design_37,Cursor 3.7 的 Canvas Design Mode 如何让用户指导界面修改？,"[""doc_9c353db2fb5777ead1e688e2""]","[""chunk_00a06c66b59e969030137fb1""]","{""chunk_00a06c66b59e969030137fb1"":3.0}",Cursor,product_release,"[""agent_context""]",3.7.0,Select and annotate UI elements directly,"{""competitor"":""Cursor"",""source_types"":[""official_changelog""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""agent_context""],""product_versions"":[""3.7.0""]}"
copilot_official_workflow,GitHub Copilot 可以在哪些开发工作界面使用 Agent？,"[""doc_1baa5840c6e49fc1628e6718""]","[""chunk_07f5149873cd3e5cc3ebfeea""]","{""chunk_07f5149873cd3e5cc3ebfeea"":3.0}",GitHub Copilot,,"[""education_fit""]",,"GitHub, your IDE, the CLI, project tools, chat apps","{""competitor"":""GitHub Copilot"",""source_types"":[""official_page""],""current_only"":true,""dimension_tags"":[""education_fit""]}"
copilot_ai_credit_value,GitHub AI Credits 的美元换算关系是什么？,"[""doc_bbd908337adaf9b334e47cb8""]","[""chunk_b11afbb3413e708162be063e""]","{""chunk_b11afbb3413e708162be063e"":3.0}",GitHub Copilot,pricing_change,"[""performance_cost""]",,1 AI credit = $0.01 USD,"{""competitor"":""GitHub Copilot"",""source_types"":[""pricing""],""current_only"":true,""event_types"":[""pricing_change""],""dimension_tags"":[""performance_cost""]}"
copilot_repository_overview,第一次浏览仓库时，Copilot repository overview 会汇总哪些信息？,"[""doc_eea02ac10901a1f4cc47242b""]","[""chunk_b579df4bd0f80e1c1b37a241""]","{""chunk_b579df4bd0f80e1c1b37a241"":3.0}",GitHub Copilot,product_release,"[""agent_context""]",,"summary of the repository’s purpose, the technologies it uses, and its contribution guidelines","{""competitor"":""GitHub Copilot"",""source_types"":[""official_changelog""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""agent_context""]}"
copilot_otel_management,企业如何集中配置 Copilot 的 OpenTelemetry 导出端点和内容采集策略？,"[""doc_455c7267a0060322d58ef981""]","[""chunk_b3086ff73645a8fd820f8500""]","{""chunk_b3086ff73645a8fd820f8500"":3.0}",GitHub Copilot,product_release,"[""security_compliance""]",,mandate where GitHub Copilot sends OpenTelemetry,"{""competitor"":""GitHub Copilot"",""source_types"":[""official_changelog""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""security_compliance""]}"
copilot_codex_jetbrains,JetBrains IDE 中的 GitHub Copilot 如何启用 Codex Agent Provider？,"[""doc_06b1173779ee9384b2cfe433""]","[""chunk_e81d76d3d568ba9e68f4cf74""]","{""chunk_e81d76d3d568ba9e68f4cf74"":3.0}",GitHub Copilot,product_release,"[""model_extensibility""]",,install the Codex CLI on your machine,"{""competitor"":""GitHub Copilot"",""source_types"":[""official_changelog""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""model_extensibility""]}"
copilot_app_all_plans,GitHub Copilot 桌面应用支持哪些套餐和自带模型密钥方式？,"[""doc_12a5baf9cf7d832a93e22563""]","[""chunk_97c7e774099a61a34bf833e6""]","{""chunk_97c7e774099a61a34bf833e6"":3.0}",GitHub Copilot,product_release,"[""education_fit""]",,Bring your own key (BYOK),"{""competitor"":""GitHub Copilot"",""source_types"":[""official_changelog""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""education_fit""]}"
