case_id,question,relevant_document_ids,relevant_chunk_ids,relevance_grades,expected_competitor,expected_event_type,expected_dimension_tags,expected_version,expected_evidence_quote,query_filters
cursor_official_agent,Cursor 官网如何描述把开发任务交给 Agent 的工作方式？,"[""doc_07d098f2fee2ef0054ba2e6f""]","[""chunk_f6ba9547b6d24c1bc480481b"",""chunk_5b38604f1c248e7f16cc66b9"",""chunk_b4180b2e9105f36f75d4ec67""]","{""chunk_f6ba9547b6d24c1bc480481b"":3.0,""chunk_5b38604f1c248e7f16cc66b9"":1.0,""chunk_b4180b2e9105f36f75d4ec67"":1.0}",Cursor,,"[""agent_context""]",,handing off tasks to Cursor,"{""competitor"":""Cursor"",""source_types"":[""official_page""],""current_only"":true,""dimension_tags"":[""agent_context""]}"
cursor_teams_price,Cursor Teams 套餐的月费和团队管理能力是什么？,"[""doc_d6324537d99947983b9e08a2""]","[""chunk_c5fedceb650f56c40866e98a"",""chunk_0154296f2861aad72be603b8"",""chunk_63700f2d4d8b0d72ca4d19e3"",""chunk_1e0c884afb69d6ab8c9d48e5""]","{""chunk_c5fedceb650f56c40866e98a"":3.0,""chunk_0154296f2861aad72be603b8"":1.0,""chunk_63700f2d4d8b0d72ca4d19e3"":1.0,""chunk_1e0c884afb69d6ab8c9d48e5"":1.0}",Cursor,pricing_change,"[""performance_cost""]",,$40 / user / mo.,"{""competitor"":""Cursor"",""source_types"":[""pricing""],""current_only"":true,""event_types"":[""pricing_change""],""dimension_tags"":[""performance_cost""]}"
cursor_enterprise_controls,Cursor Enterprise 套餐提供哪些访问控制和审计能力？,"[""doc_d6324537d99947983b9e08a2""]","[""chunk_63700f2d4d8b0d72ca4d19e3"",""chunk_0154296f2861aad72be603b8"",""chunk_c5fedceb650f56c40866e98a"",""chunk_77bb3a8ed29e9c7806a2b10d"",""chunk_015a8ae26215d7d8e26816d3"",""chunk_1e0c884afb69d6ab8c9d48e5""]","{""chunk_63700f2d4d8b0d72ca4d19e3"":3.0,""chunk_0154296f2861aad72be603b8"":2.0,""chunk_c5fedceb650f56c40866e98a"":1.0,""chunk_77bb3a8ed29e9c7806a2b10d"":1.0,""chunk_015a8ae26215d7d8e26816d3"":1.0,""chunk_1e0c884afb69d6ab8c9d48e5"":1.0}",Cursor,pricing_change,"[""security_compliance""]",,SCIM seat management,"{""competitor"":""Cursor"",""source_types"":[""pricing""],""current_only"":true,""event_types"":[""pricing_change""],""dimension_tags"":[""security_compliance""]}"
cursor_side_chats_311,Cursor 3.11 的 side chat 如何避免打断主 Agent 会话？,"[""doc_6f62235dc9bf9ac07ad070ad""]","[""chunk_fa6c659cb1b68ffc73e2b44d"",""chunk_47a01c72de87b9ca9accd718"",""chunk_f6aa1e2fc0fc64f6d8633ee6"",""chunk_61c65ab11845c039a67d96c6"",""chunk_fe97c057721ae9e1388b1f0e""]","{""chunk_fa6c659cb1b68ffc73e2b44d"":3.0,""chunk_47a01c72de87b9ca9accd718"":2.0,""chunk_f6aa1e2fc0fc64f6d8633ee6"":1.0,""chunk_61c65ab11845c039a67d96c6"":1.0,""chunk_fe97c057721ae9e1388b1f0e"":1.0}",Cursor,product_release,"[""agent_context""]",3.11.0,without interrupting your main agent conversation,"{""competitor"":""Cursor"",""source_types"":[""official_changelog""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""agent_context""],""product_versions"":[""3.11.0""]}"
cursor_automations_38,Cursor 3.8 Automations 新增了哪些触发器和计算机操作能力？,"[""doc_3414937efa7cf1a0f93303c3""]","[""chunk_e40c8ab9aeaa43db310fee96"",""chunk_44201142d36cffcccb5626f7"",""chunk_ba24ea3712a1426b2315e94a""]","{""chunk_e40c8ab9aeaa43db310fee96"":3.0,""chunk_44201142d36cffcccb5626f7"":2.0,""chunk_ba24ea3712a1426b2315e94a"":1.0}",Cursor,product_release,"[""agent_context""]",3.8.0,"new triggers for GitHub and Slack, and support for computer use","{""competitor"":""Cursor"",""source_types"":[""official_changelog""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""agent_context""],""product_versions"":[""3.8.0""]}"
cursor_bugbot_metrics,Cursor Bugbot 的评审速度、成本和缺陷发现数量发生了什么变化？,"[""doc_2531d48c0f74c6f92d2beb40"",""doc_d13d5a500a21174ffc2d94df"",""doc_21cca0332b634541d1ab0d67""]","[""chunk_d9965875d54373f9630cea00"",""chunk_c102cb35490fac8062c1cc23"",""chunk_2681656bad46e94c186f8118"",""chunk_60939fb613aa367ea1a57acf"",""chunk_305b0ec36cb9c2e1f1634a7d"",""chunk_9f7d074fe02cf8a766716b08""]","{""chunk_d9965875d54373f9630cea00"":3.0,""chunk_c102cb35490fac8062c1cc23"":1.0,""chunk_2681656bad46e94c186f8118"":1.0,""chunk_60939fb613aa367ea1a57acf"":1.0,""chunk_305b0ec36cb9c2e1f1634a7d"":1.0,""chunk_9f7d074fe02cf8a766716b08"":1.0}",Cursor,product_release,"[""performance_cost""]",,average review time for Bugbot is now ~90 seconds,"{""competitor"":""Cursor"",""source_types"":[""official_changelog""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""performance_cost""]}"
cursor_cloud_subagent_37,Cursor 3.7 的 /in-cloud 子 Agent 如何隔离长时间任务？,"[""doc_d3b64d654b269e190c496d5d"",""doc_9c353db2fb5777ead1e688e2""]","[""chunk_95e2856270bfa510adc4bdf2"",""chunk_7aa60f3448cc416bf9c29ffe"",""chunk_389f687fffeb8055e694db7b"",""chunk_60f4492a8026abe68d585b84"",""chunk_e6f562692fdcdc588cea3f18""]","{""chunk_95e2856270bfa510adc4bdf2"":3.0,""chunk_7aa60f3448cc416bf9c29ffe"":2.0,""chunk_389f687fffeb8055e694db7b"":2.0,""chunk_60f4492a8026abe68d585b84"":1.0,""chunk_e6f562692fdcdc588cea3f18"":1.0}",Cursor,product_release,"[""agent_context""]",3.7.0,runs on its own VM and branch,"{""competitor"":""Cursor"",""source_types"":[""official_changelog""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""agent_context""],""product_versions"":[""3.7.0""]}"
cursor_canvas_design_37,Cursor 3.7 的 Canvas Design Mode 如何让用户指导界面修改？,"[""doc_9c353db2fb5777ead1e688e2"",""doc_acc63b529a904818cb97444d""]","[""chunk_00a06c66b59e969030137fb1"",""chunk_5b5434c7f0ed123bf0764ac8"",""chunk_213d3467079e67a5995ed6a8"",""chunk_06afaa0b8de4dc986a057db3"",""chunk_60f4492a8026abe68d585b84"",""chunk_865c9f4590d51bf1e45bae25"",""chunk_b624857e589f5d125e6fce53""]","{""chunk_00a06c66b59e969030137fb1"":3.0,""chunk_5b5434c7f0ed123bf0764ac8"":2.0,""chunk_213d3467079e67a5995ed6a8"":2.0,""chunk_06afaa0b8de4dc986a057db3"":2.0,""chunk_60f4492a8026abe68d585b84"":1.0,""chunk_865c9f4590d51bf1e45bae25"":1.0,""chunk_b624857e589f5d125e6fce53"":1.0}",Cursor,product_release,"[""agent_context""]",3.7.0,Select and annotate UI elements directly,"{""competitor"":""Cursor"",""source_types"":[""official_changelog""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""agent_context""],""product_versions"":[""3.7.0""]}"
copilot_official_workflow,GitHub Copilot 可以在哪些开发工作界面使用 Agent？,"[""doc_1baa5840c6e49fc1628e6718""]","[""chunk_07f5149873cd3e5cc3ebfeea"",""chunk_0f3ca01dd8ec2840e1ca964a"",""chunk_4b632fee7d37e3c74cdefb90"",""chunk_67b89835e8e1f9348f317b8d"",""chunk_fba32cf66b8734e83ef83b58"",""chunk_8372de4f080e6f37720d7a5c"",""chunk_4a3f5ac40ce7c35ceeef6baf"",""chunk_e382f6a9ba75d8472a968e58"",""chunk_f5c2daff08002d1f59fb0cfc"",""chunk_b665d76d4804971a33d44cc5"",""chunk_d3dae02400b860a9bee5c433"",""chunk_25e462ec60f79a6708f387d3""]","{""chunk_07f5149873cd3e5cc3ebfeea"":3.0,""chunk_0f3ca01dd8ec2840e1ca964a"":2.0,""chunk_4b632fee7d37e3c74cdefb90"":2.0,""chunk_67b89835e8e1f9348f317b8d"":2.0,""chunk_fba32cf66b8734e83ef83b58"":2.0,""chunk_8372de4f080e6f37720d7a5c"":2.0,""chunk_4a3f5ac40ce7c35ceeef6baf"":1.0,""chunk_e382f6a9ba75d8472a968e58"":1.0,""chunk_f5c2daff08002d1f59fb0cfc"":1.0,""chunk_b665d76d4804971a33d44cc5"":1.0,""chunk_d3dae02400b860a9bee5c433"":1.0,""chunk_25e462ec60f79a6708f387d3"":1.0}",GitHub Copilot,,"[""education_fit""]",,"GitHub, your IDE, the CLI, project tools, chat apps","{""competitor"":""GitHub Copilot"",""source_types"":[""official_page""],""current_only"":true,""dimension_tags"":[""education_fit""]}"
copilot_ai_credit_value,GitHub AI Credits 的美元换算关系是什么？,"[""doc_bbd908337adaf9b334e47cb8""]","[""chunk_b11afbb3413e708162be063e"",""chunk_5c3b3d51e0f3201cab72bcb7"",""chunk_f5224619a4ea5f08a90ece49"",""chunk_559a2f8e0a7da35043740944"",""chunk_8073de01e35184d980b4ef00"",""chunk_88cc34013e5da09272301437"",""chunk_1680fe63e8ff4b10ea61a79e"",""chunk_1ac510ec2404d625b8fb5bb2"",""chunk_5b5ba96376111103bfcb2488"",""chunk_b5420e4550c5e8e816aa1854"",""chunk_09cb6b13033438d0e2fa4a90"",""chunk_5be48868303d246c6cd141f9"",""chunk_1f0f8238a2ed80eab30ac539"",""chunk_71ecea7547af6e9ec82453da"",""chunk_35874f46f330848ae695b362""]","{""chunk_b11afbb3413e708162be063e"":3.0,""chunk_5c3b3d51e0f3201cab72bcb7"":1.0,""chunk_f5224619a4ea5f08a90ece49"":1.0,""chunk_559a2f8e0a7da35043740944"":1.0,""chunk_8073de01e35184d980b4ef00"":1.0,""chunk_88cc34013e5da09272301437"":1.0,""chunk_1680fe63e8ff4b10ea61a79e"":1.0,""chunk_1ac510ec2404d625b8fb5bb2"":1.0,""chunk_5b5ba96376111103bfcb2488"":1.0,""chunk_b5420e4550c5e8e816aa1854"":1.0,""chunk_09cb6b13033438d0e2fa4a90"":1.0,""chunk_5be48868303d246c6cd141f9"":1.0,""chunk_1f0f8238a2ed80eab30ac539"":1.0,""chunk_71ecea7547af6e9ec82453da"":1.0,""chunk_35874f46f330848ae695b362"":1.0}",GitHub Copilot,pricing_change,"[""performance_cost""]",,1 AI credit = $0.01 USD,"{""competitor"":""GitHub Copilot"",""source_types"":[""pricing""],""current_only"":true,""event_types"":[""pricing_change""],""dimension_tags"":[""performance_cost""]}"
copilot_repository_overview,第一次浏览仓库时，Copilot repository overview 会汇总哪些信息？,"[""doc_eea02ac10901a1f4cc47242b"",""doc_d29eb5c3bcb69957677ac949"",""doc_9eb003a4c711b74a069cef34"",""doc_5519330496ac52151143041b"",""doc_7971300b0d1c810e2c3ee871""]","[""chunk_b579df4bd0f80e1c1b37a241"",""chunk_c3bec5daaa3df7403601af3e"",""chunk_f1596ff65188c2395b259cdd"",""chunk_12c2951214ec9a8e033b4d10"",""chunk_db50a97eb9c6345ec3e90662""]","{""chunk_b579df4bd0f80e1c1b37a241"":3.0,""chunk_c3bec5daaa3df7403601af3e"":1.0,""chunk_f1596ff65188c2395b259cdd"":1.0,""chunk_12c2951214ec9a8e033b4d10"":1.0,""chunk_db50a97eb9c6345ec3e90662"":1.0}",GitHub Copilot,product_release,"[""agent_context""]",,"summary of the repository’s purpose, the technologies it uses, and its contribution guidelines","{""competitor"":""GitHub Copilot"",""source_types"":[""official_changelog""],""current_only"":true,""event_types"":[""product_release""],""dimension_tags"":[""agent_context""]}"
