version_id,document_id,competitor,source_type,overall_decision,reason_codes,raw_path,url,review_agent,reviewed_at
ver_fc7d3e9c10bac3dca3b31a57,doc_001516c2a8004ee7b354c949,CodeGeeX,github_issue,NEEDS_REVIEW,"[""NO_DIMENSION_LABEL""]",data/raw/codegeex/github_issue/20260717T031124Z_6bad9f7c/fa9a561dfdd23121e6cc0471.json,https://github.com/zai-org/CodeGeeX/issues/277,codex-ai-precheck,2026-07-17T03:41:27.953526Z
ver_7ab68d395d95220a2a462696,doc_02d89c2f610eb980065607c9,CodeGeeX,github_issue,NEEDS_REVIEW,"[""NO_DIMENSION_LABEL"", ""CONTENT_TOO_SHORT""]",data/raw/codegeex/github_issue/20260717T031124Z_6bad9f7c/e54fd0be41ba66d3022a71a4.json,https://github.com/zai-org/CodeGeeX4/issues/134,codex-ai-precheck,2026-07-17T03:41:27.953526Z
ver_e838f3e477c73c9cef6cff4e,doc_03b7232a7650beeaff992ca1,CodeGeeX,github_issue,NEEDS_REVIEW,"[""NO_DIMENSION_LABEL"", ""SENSITIVE_PHONE""]",data/raw/codegeex/github_issue/20260717T031124Z_6bad9f7c/cb2bbac29d082ed0f51ed708.json,https://github.com/zai-org/CodeGeeX4/issues/153,codex-ai-precheck,2026-07-17T03:41:27.953526Z
ver_1769f3166904346830bf2fc5,doc_05a481ef3a52e8096e6d8e27,CodeGeeX,github_issue,NEEDS_REVIEW,"[""NO_DIMENSION_LABEL"", ""CONTENT_TOO_SHORT""]",data/raw/codegeex/github_issue/20260717T031124Z_6bad9f7c/ec520259059818b47fb5bca2.json,https://github.com/zai-org/CodeGeeX/issues/294,codex-ai-precheck,2026-07-17T03:41:27.953526Z
ver_bc7fcf52e23cb22623e6e297,doc_1165254a43df4f1419eb8f96,CodeGeeX,github_issue,NEEDS_REVIEW,"[""NO_DIMENSION_LABEL"", ""CONTENT_TOO_SHORT""]",data/raw/codegeex/github_issue/20260717T031124Z_6bad9f7c/e9671441bef39efb68e41d3b.json,https://github.com/zai-org/CodeGeeX4/issues/142,codex-ai-precheck,2026-07-17T03:41:27.953526Z
ver_beacb3e7b79f0ad1887e4b73,doc_1b6f8aa6d61027543dc6fe12,CodeGeeX,github_issue,NEEDS_REVIEW,"[""NO_DIMENSION_LABEL"", ""SENSITIVE_PHONE""]",data/raw/codegeex/github_issue/20260713T162601Z_fda2c425/017bad97c25cf72b57d28c56.json,https://github.com/zai-org/CodeGeeX/issues/252,codex-ai-precheck,2026-07-17T03:41:27.953526Z
ver_924502cedbc1d3a50704f082,doc_2520ba6afdabe69b4f8a8f54,CodeGeeX,github_issue,NEEDS_REVIEW,"[""SENSITIVE_PHONE"", ""SENSITIVE_LONG_NUMBER""]",data/raw/codegeex/github_issue/20260717T031124Z_6bad9f7c/1adbc9b18a8c99d9f05dae93.json,https://github.com/zai-org/CodeGeeX4/issues/137,codex-ai-precheck,2026-07-17T03:41:27.953526Z
ver_5774a174fee5a3f770924c86,doc_2b2a2d4018281c52d242d1be,CodeGeeX,github_issue,NEEDS_REVIEW,"[""SENSITIVE_PHONE""]",data/raw/codegeex/github_issue/20260717T031124Z_6bad9f7c/b0dbfaddf6ad56ab1543937b.json,https://github.com/zai-org/CodeGeeX4/issues/147,codex-ai-precheck,2026-07-17T03:41:27.953526Z
ver_e44711f74bf17cfa29335862,doc_2cb7d8ee98fec329cd761817,CodeGeeX,github_issue,NEEDS_REVIEW,"[""SENSITIVE_PHONE""]",data/raw/codegeex/github_issue/20260717T031124Z_6bad9f7c/2b8f8882233c011d51c3dd0c.json,https://github.com/zai-org/CodeGeeX4/issues/112,codex-ai-precheck,2026-07-17T03:41:27.953526Z
ver_51e006f9364c106de732ad5b,doc_2e00dc392eaca7b707ebfbca,CodeGeeX,github_issue,NEEDS_REVIEW,"[""SENSITIVE_PHONE""]",data/raw/codegeex/github_issue/20260717T031124Z_6bad9f7c/db4c1eabcafca93a2c611ea1.json,https://github.com/zai-org/CodeGeeX4/issues/104,codex-ai-precheck,2026-07-17T03:41:27.953526Z
ver_9e722c34089e71d6e5d7333a,doc_3c133cd80c206b80a09fa0a4,CodeGeeX,github_issue,NEEDS_REVIEW,"[""SENSITIVE_PHONE""]",data/raw/codegeex/github_issue/20260717T031124Z_6bad9f7c/5764036983dae71c45a59ad7.json,https://github.com/zai-org/CodeGeeX4/issues/121,codex-ai-precheck,2026-07-17T03:41:27.953526Z
ver_029f76771a973db609f5cca5,doc_422f770c64ac9c16448a2edc,CodeGeeX,github_issue,NEEDS_REVIEW,"[""CONTENT_TOO_SHORT""]",data/raw/codegeex/github_issue/20260717T031124Z_6bad9f7c/6574bc4c619e36576c839c13.json,https://github.com/zai-org/CodeGeeX4/issues/120,codex-ai-precheck,2026-07-17T03:41:27.953526Z
