document_id,competitor,source_type,title,event_type,current_dimension_tags,label_confidence,label_reasons,content_excerpt,url,raw_path,human_event_type,human_dimension_tags,review_decision,reviewer,reviewed_at,notes
doc_001516c2a8004ee7b354c949,CodeGeeX,github_issue,tp,risk_experience,[],0.35,"[""source:github_issue->risk_experience""]","tp

[API - TP2.pdf](https://github.com/user-attachments/files/24015739/API.-.TP2.pdf)

Issue state: open",https://github.com/zai-org/CodeGeeX/issues/277,data/raw/codegeex/github_issue/20260713T162601Z_fda2c425/bf07c2d4f22a44e15b3dafd2.json,,,,,,
doc_023c0447193015c54ed7f9d5,GitHub Copilot,github_release,v0.41.2026031903,product_release,[],0.35,"[""source:github_release->product_release""]","v0.41.2026031903

Release state: prerelease",https://github.com/microsoft/vscode-copilot-chat/releases/tag/v0.41.2026031903,data/raw/github_copilot/github_release/20260713T162601Z_fda2c425/13758b1724f6506715c51341.json,,,,,,
doc_affd7b6a2deaf980c40afa80,GitHub Copilot,official_changelog,Assigning GitHub Copilot to an issue now adds you as an assignee,product_release,[],0.35,"[""source:official_changelog->product_release""]","Back to changelog

Improvement

December 18, 2025 • 1 minute read

# Assigning GitHub Copilot to an issue now adds you as an assignee

When you assign an issue to Copilot, you’ll now automatically be added as an assignee yourself. This makes it easier to track your work using filters like assignee:@me and understand who is working on an issue.

## Share your feedback

Join the community discussion to share your feedback or learn more in our documentation on assigning issues to Copilot.",https://github.blog/changelog/2025-12-18-assigning-github-copilot-to-an-issue-now-adds-you-as-an-assignee,data/raw/github_copilot/changelog/20260713T162601Z_fda2c425/333fba78666693e58712f95d.html,,,,,,
doc_0c71c303c48520b51191f60f,Trae,github_issue,[Feature Request] Add option to disable code block folding in chat,risk_experience,[],0.35,"[""source:github_issue->risk_experience""]","[Feature Request] Add option to disable code block folding in chat

Version 1.7.0 added auto-collapsing code blocks in AI responses. This significantly reduces usability as it requires extra clicks for every code block. Please add a toggle in settings to disable this behavior.

Issue state: open",https://github.com/Trae-AI/TRAE/issues/2553,data/raw/trae/github_issue/20260713T162601Z_fda2c425/90bd324ad8a651a3cf375f4f.json,,,,,,
doc_842463a7603d24fd1c84ffb6,Trae,official_page,TRAE - Collaborate with Intelligence,,"[""ide_ecosystem""]",0.6,"[""ide_ecosystem:keywords=ide"", ""source:needs_browser""]","Ship Faster with

TRAE

TRAE Work: Your Professional AI Work Assistant

TRAE IDE: Your 10x AI Coding Engineer

Download TRAE Work

Download TRAE IDE

TRAE Work Web",https://www.trae.ai/,data/raw/trae/official/20260713T162601Z_fda2c425/6ec682a55d4dbf30d9fc6414.html,,,,,,
doc_25dc2937eec1e94e3d00822c,通义灵码,official_changelog,QoderWork CN 更新日志 — 0.5.4(2026-05-28),product_release,[],0.35,"[""source:official_changelog->product_release""]","# QoderWork CN 更新日志

## 0.5.4(2026-05-28)

#### 日常优化

优化了若干影响日常使用的体验问题。",https://help.aliyun.com/zh/lingma/qoderwork-cn-update-log,data/raw/tongyi_lingma/changelog/20260715T091634Z_26502fc3/88efcb974b26163902565f2d.html,,,,,,
doc_02d89c2f610eb980065607c9,CodeGeeX,github_issue,boost,risk_experience,[],0.35,"[""source:github_issue->risk_experience""]","boost

gh repo clone zai-org/CodeGeeX4

Issue state: open",https://github.com/zai-org/CodeGeeX4/issues/134,data/raw/codegeex/github_issue/20260713T162601Z_fda2c425/37216a1fc844cc6d873f24d3.json,,,,,,
doc_06dea2f9a82953b498c8c835,GitHub Copilot,github_release,v0.32.2025091102,product_release,[],0.35,"[""source:github_release->product_release""]","v0.32.2025091102

Release state: prerelease",https://github.com/microsoft/vscode-copilot-chat/releases/tag/v0.32.2025091102,data/raw/github_copilot/github_release/20260713T162601Z_fda2c425/3fcd12c3ec2135f22a5d4c25.json,,,,,,
doc_0f290043335e51b67a808153,Trae,github_issue,Linux版本什么时候上线,risk_experience,[],0.35,"[""source:github_issue->risk_experience""]","Linux版本什么时候上线

Issue state: closed

Comment by Undead34 at 2025-08-20T19:00:56Z

+1

Comment by Builder247 at 2025-08-25T00:56:10Z

Yes

Comment by sswybd at 2025-09-05T07:33:20Z

+1

Comment by abnerxc at 2025-10-10T07:54:12Z

+1

Comment by mochenya at 2026-02-17T08:02:10Z

+1",https://github.com/Trae-AI/TRAE/issues/1390,data/raw/trae/github_issue/20260713T162601Z_fda2c425/48bcda82fdb3de70079f0ca7.json,,,,,,
doc_26fe9f728524b85c262fd21d,通义灵码,official_changelog,QoderWork CN 更新日志 — 0.5.8(2026-06-04),product_release,[],0.35,"[""source:official_changelog->product_release""]","# QoderWork CN 更新日志

## 0.5.8(2026-06-04)

#### 日常优化

优化了若干影响日常使用的体验问题。",https://help.aliyun.com/zh/lingma/qoderwork-cn-update-log,data/raw/tongyi_lingma/changelog/20260715T091634Z_26502fc3/88efcb974b26163902565f2d.html,,,,,,
